Handle,Title,Vendor,Type,Tags,Variant Price,Variant Compare At Price,Cost per item,Shipping Destination,Status,Discount %,Margin %,Auto_Category,Text_Cluster
waterproof-cotton-slippers-for-women-men-winter-outdoor-indoor-home-plush-warm-thick-sole-anti-slip-cotton-shoes-for-couple-126597792093-9flzd,Women Men Waterproof Bear Pattern Plush Slippers Winter Warm Home Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"bear pattern, indoor shoes, Nigeria, platform slippers, plush shoes, unisex shoes, warm footwear, waterproof clogs, winter slippers",21.99,31.99,9.06,Nigeria,active,31.3,58.8,Footwear,6
sexy-pointed-toe-patent-leather-high-heels-temperament-girl-red-sole-party-dress-stiletto-pumps-classic-black-work-single-shoes-126597792093-m8puo,Classic Black Patent Leather Pointed Toe Stiletto Pumps Red Sole,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"black pumps, evening wear, Nigeria, office shoes, patent leather, pointed toe, red sole, stiletto pumps",31.99,47.99,14.37,Nigeria,active,33.3,55.1,Footwear,10
summer-breathable-non-slip-soft-sole-elderly-shoe-womens-casual-shoes-middle-aged-and-elderly-walking-flat-shoes-fo-women-126597792093-fhfrv,Women Breathable Knit Slip On Casual Flat Walking Shoes Non Slip Soft Sole,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"breathable knit, laceless shoes, mesh upper, Nigeria, non slip, slip on casual, soft sole, summer walking, women walking shoes",39.99,59.99,15.62,Nigeria,active,33.3,60.9,Footwear,1
snow-women-boots-fashion-unisex-shoes-slip-on-platform-shoes-for-women-ankle-boots-waterproof-plush-winter-shoes-botas-mujer-126597792093-tuvsh,Waterproof Winter Boots For Women Men Plush Lining Ankle Boots,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"Ankle boots, Deep grip, Nigeria, Plush lining, Rainy weather, Slip on, Snow boots, Unisex footwear, Waterproof boots",33.99,50.99,15.47,Nigeria,active,33.3,54.5,Footwear,0
women-shoes-breathable-vulcanized-shoes-white-zapawomen-sneakers-fashion-breathable-mesh-casual-walking-shoes-women-work-shoes-126597792093-vafaa,Women Breathable Mesh Sneakers Slip On Velcro Casual Walking Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"breathable mesh, casual footwear, mesh shoes, Nigeria, nurse shoes, slip on shoes, velcro shoes, walking shoes, women sneakers",20.99,31.99,8.93,Nigeria,active,34.4,57.5,Footwear,1
waterproof-cotton-slippers-for-women-men-winter-outdoor-indoor-non-slip-home-plush-shoes-thick-bottom-cute-bear-shoes-couple-126597792093-kb490,Waterproof Cotton Slippers Men Women Winter Indoor Non Slip Bear Thick Bottom,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"bear logo, fleece lining, Nigeria, non slip footwear, plush slippers, thick soles, unisex wear, waterproof slippers, winter footwear",17.99,25.99,7.04,Nigeria,active,30.8,60.9,Footwear,6
women-vulcanized-shoes-high-quality-women-sneakers-slip-on-flats-shoes-women-loafers-plus-size-42-walking-flat-126597792093-x1hna,Women Vulcanized Knit Sneakers Breathable Mesh Flats With White Rubber Sole,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"breathable mesh, casual wear, knit flats, Nigeria, rubber sole, slip on shoes, vulcanized sneakers, walking shoes, women sneakers",24.99,36.99,10.55,Nigeria,active,32.4,57.8,Footwear,1
womens-shoes-summer-2026-casual-sneaker-new-style-two-color-single-shoes-versatile-casual-and-fashionable-work-shoes-126597792093-2k72i,Women Casual Mesh Sneakers Beige Grey Pink Lightweight Summer Comfortable Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"Casual Footwear, Comfort Shoes, Flat Sneakers, Lightweight Shoes, Mesh Shoes, Nigeria, Summer Sneakers, Walking Shoes, Women Sneakers",33.99,50.99,15.43,Nigeria,active,33.3,54.6,Footwear,1
women-shoes-convenient-and-comfortable-at-home-one-foot-with-a-vent-and-half-slipper-womens-summer-shoes-126597792093-qsdku,Women Breathable Mesh Half Slipper Slip On Open Heel Summer Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"breathable shoes, casual shoes, half slipper, knit mesh, mesh slipper, mule shoes, Nigeria, open heel, slip on shoes, summer shoes, women slipper",26.99,39.99,11.61,Nigeria,active,32.5,57.0,Footwear,1
women-sandals-new-summer-wedges-heels-platform-sandals-women-hollow-out-gladiator-sandals-breathable-thick-sole-shoes-for-women-126597792093-xwij6,Women Summer Platform Wedge Sandals Metallic Hollow Out Gladiator Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"cutout footwear, gladiator shoes, hollow out design, metallic finish, Nigeria, platform wedges, summer style, thick sole, Women sandals",36.99,54.99,4.63,Nigeria,active,32.7,87.5,Footwear,1
spring-new-womens-sports-shoes-fashionable-breathable-lightweight-non-slip-wear-resistant-casual-sports-shoes-flat-shoes-126597792093-zqepx,Women Casual Breathable Knit Sneakers Slip On Lightweight Flat Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"breathable mesh, flat shoes, knit sneakers, lightweight footwear, Nigeria, slip on shoes, summer shoes, walking shoes, women casual",29.99,43.99,13.17,Nigeria,active,31.8,56.1,Footwear,1
womens-sports-shoes-mesh-lightweight-soft-sole-jogging-strap-breathable-fashion-sports-walking-casual-tennis-flat-shoes-for-men-126597792093-igd2q,Women Breathable Knit Mesh Sneakers Lightweight Walking Jogging Flat Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"breathable sneakers, flat shoes, gym shoes, jogging shoes, knit mesh, lightweight shoes, Nigeria, UK, walking shoes, women sneakers",34.99,52.99,16.01,UK,active,34.0,54.2,Footwear,1
womens-luxury-beaded-mary-jane-leather-shoes-springautumn-fashion-comfortable-elegant-flat-black-walking-shoes-zapatos-mujer-126597792093-m70ar,Women Black Patent Leather Mary Jane Shoes Pearl Bead Buckle Walking Flat,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"Black leather, Chunky sole, Flat shoes, Mary Jane shoes, Nigeria, Patent leather, Pearl buckle, Strap shoes, UK, Walking shoes",33.99,49.99,15.18,UK,active,32.0,55.3,Footwear,1
women-sneakers-shoes-fashion-womenvulcanizedshoes-highquality-flatsshoes-womenwalking-blatform-plus-size-zapatillas-mujer-126597792093-smxu3,Women Grey Pink Platform Sneakers Breathable Mesh Casual Walking Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"breathable mesh, casual walking, grey pink, jogger shoes, light shoes, Nigeria, platform shoes, rubber sole, women sneakers",29.99,44.99,13.26,Nigeria,active,33.3,55.8,Footwear,1
womens-sports-shoes-2026-breathable-single-mesh-shoes-womens-casual-and-versatile-sports-shoes-126597792093-g8yxp,Women's Breathable Mesh Sneakers Casual Sports Walking Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"Athletic shoes, Breathable mesh, Casual shoes, Chunky sole, Grey sneakers, Knit upper, Mesh sneakers, Nigeria, Sports footwear, UK, Walking shoes, Women sneakers",35.99,53.99,16.38,UK,active,33.3,54.5,Footwear,1
women-casual-shoes-fashion-breathable-walking-mesh-flat-shoes-sneakers-women-2021-gym-vulcanized-shoes-white-female-footwear-126597792093-elaan,Women White Breathable Mesh Casual Walking Sneakers Flat Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"breathable knit, casual footwear, flat shoes, Nigeria, vulcanized outsole, walking sneakers, white mesh, women sneakers, workout shoes",24.99,36.99,10.57,Nigeria,active,32.4,57.7,Footwear,1
womens-casual-sports-shoes-solid-color-breathable-sports-soft-soled-lightweight-walking-shoes-low-top-knitted-casual-shoes-126597792093-52i4c,Ladies Lightweight Breathable Knitted Soft Sole Casual Walking Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"breathable mesh, casual footwear, Ladies walking shoes, lightweight knit shoes, low top shoes, Nigeria, slip on shoes, soft sole sneakers, summer shoes, UK",27.99,41.99,12.52,UK,active,33.3,55.3,Footwear,1
womens-shoes-2026-summer-casual-convenient-and-comfortable-fashionable-single-color-casual-work-shoes-126597792093-qbev0,Women Breathable Mesh Slip On Summer Casual Walking Shoes Comfortable Sneakers,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"breathable mesh, casual walking, comfortable shoes, knit upper, lightweight shoes, low heel, Nigeria, slip on sneakers, summer footwear, UK, women shoes",30.99,45.99,13.82,UK,active,32.6,55.4,Footwear,1
womens-shoes-womens-sports-shoes-summer-flying-woven-mesh-soft-sole-breathable-sports-shoes-126597792093-osrtr,Women Lightweight Flying Woven Mesh Breathable Casual Walking Sneakers,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"breathable mesh shoes, casual walker shoes, cutout toe, flying woven mesh, lightweight casual footwear, Nigeria, sage green shoes, summer knit sneakers, UK, women walking sneakers",26.99,39.99,11.67,UK,active,32.5,56.8,Footwear,1
new-fur-slippers-for-women-men-winter-furry-fashion-warm-ankles-plush-cozy-slides-for-home-indoor-soft-sole-cotton-shoes-126597792093-dlqo2,Unisex Winter Corduroy Plush Slippers Warm Faux Fur Indoor Cozy House Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"closed toe slippers, corduroy slippers, cozy footwear, faux fur slippers, indoor house shoes, Nigeria, plush mules, slip on slippers, unisex slippers, warm shoes, winter slippers",21.99,31.99,9.11,Nigeria,active,31.3,58.6,Footwear,6
womens-shoes-womens-sports-shoes-fleece-and-thickened-boots-lightweight-soft-soled-womens-snow-boots-126597792093-kjkg9,Womens Lightweight Slip On Fleece Lined Winter Soft Sole Boots,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Unknown,"fleece lined, lightweight footwear, quilted boots, slip on boots, soft sole, UK, warm shoes, winter wear, women winter boots",39.99,58.99,18.18,UK,active,32.2,54.5,Footwear,0
womens-imitation-comfortable-tummy-control-fitness-gym-yoga-pants-daily-wear-tummy-control-hip-lifting-skinny-yoga-pants-126597792093-iatzq,Women's Imitation Denim Leggings High Waist Tummy Control Skinny Yoga Pants,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Bottoms,"casual activewear, denim look, gym wear, high rise pants, high waist leggings, imitation denim, Nigeria, skinny yoga pants, tummy control",21.99,31.99,9.18,Nigeria,active,31.3,58.3,Apparel,5
elegant-solid-basic-knitted-tops-women-turtlneck-sweater-long-sleeve-casual-slim-pullover-korean-fashion-simple-chic-clothes-126597792093-rj6bc,Women Solid Ribbed Turtleneck Pullover Long Sleeve Korean Sweater,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Tops,"knitted top, korean fashion, long sleeve top, Nigeria, ribbed turtleneck, slim fit pullover, turtleneck collar, women sweater",15.99,23.99,6.34,Nigeria,active,33.3,60.4,Apparel,10
turtleneck-top-y2k-clothes-black-gothic-cross-hollow-slimming-bottom-t-shirt-for-women-long-sleeve-sexy-t-shirt-girls-tops-126597792093-mzfzr,Black Y2K Gothic Cross Hollow Turtleneck Long Sleeve T Shirt Women,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Tops,"alternative wardrobe, black turtleneck, bodycon fit, cross top, hollow lace, long sleeve, mesh insert, Nigeria, y2k gothic",21.99,31.99,9.16,Nigeria,active,31.3,58.3,Apparel,10
mooyufon-long-sleeves-see-through-lace-crop-top-solid-sexy-bodycon-t-shirt-for-women-party-club-autumn-winter-clothes-126597792093-cfx06,Women Black See Through Lace Long Sleeve Crop Top Floral Bodycon Shirt,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Tops,"black lace, bodycon, crop top, evening wear, floral, long sleeve, Nigeria, nightout, see through, sheer top, women",16.99,24.99,6.76,Nigeria,active,32.0,60.2,Apparel,10
summer-and-autumn-versatile-trendy-womens-short-dresses-suitable-for-daily-leisure-and-commuting-126597792093-ko1x5,Women Grey Bodycon Mini Dress Summer Autumn Casual Short Sleeve Trendy,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Dresses,"autumn clothing, cap sleeve, casual style, grey bodycon, mini dress, Nigeria, square neck, summer dress, women fashion",16.99,25.99,6.88,Nigeria,active,34.6,59.5,Apparel,8
short-sleeved-spa-uniform-women-hospital-nursing-uniform-multicolor-stretch-fabric-pet-clinic-vet-work-clothes-nurse-accessories-126597792093-g2dbq,Women Short Sleeve V Neck Scrubs Set Jogger Pants Stretch Surgical Uniform,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Bottoms,"clinic uniform, jogger pants, medical wear, Nigeria, nursing uniform, scrubs set, short sleeve, stretch fabric, surgical uniform, v neck, veterinary scrubs",26.99,39.99,11.77,Nigeria,active,32.5,56.4,Apparel,10
womens-high-waisted-black-yoga-flared-pants-sexy-leggings-comfortable-stretchy-casual-trousers-for-fitness-and-exercise-126597792093-rkzoo,Women High Waisted Black Flared Leggings Stretchy Casual Workout Pants,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Bottoms,"activewear, ankle length, black flared leggings, casual streetwear, elastic waist, high waisted, Nigeria, stretchy workout, yoga pants",18.99,28.99,7.98,Nigeria,active,34.5,58.0,Apparel,2
fashion-irregular-tassel-chain-brooch-women-new-design-multi-functional-pants-chain-charm-clothes-pin-accessory-jewelry-126597792093-lplws,Women Irregular Tassel Chain Brooch Multi Functional Pants Charm Jewelry,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Jewelry,"blazer pin, brooch, denim accessory, fashion accessory, gold jewelry, lapel pin, metal pin, Nigeria, pants charm, tassel chain, vintage style",6.99,9.99,1.35,Nigeria,active,30.0,80.7,Bags & Accessories,7
womens-high-waisted-flared-yoga-pants-with-pockets-tummy-control-bootcut-leggings-for-gym-fitness-casual-wear-126597792093-snrit,Women High Waisted Flared Yoga Pants with Pockets Tummy Control Bootcut Leggings,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Footwear,"activewear, bootcut, flared pants, gym wear, high rise, high waist, Nigeria, pocket pants, tummy control, workout, yoga leggings",25.99,37.99,11.06,Nigeria,active,31.6,57.4,Footwear,2
girl-3-pcs-set-cosplay-costume-fashion-clothes-stage-performance-role-play-dress-up-uniform-children-show-party-costumes-126597792093-arss9,Girls 3 Piece Space Print Top Skirt Set Cosplay Stage Performance Costume,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Children's Clothing,"cosplay set, crop top, dance recital, Girls costume, Nigeria, party dress, performance wear, school play, skirt set, space print, stage outfit",20.99,31.99,9.03,Nigeria,active,34.4,57.0,Children's Clothing,8
cotton-linen-kids-clothes-girls-outfit-summer-boy-clothing-sets-solid-color-short-sleeve-tops-shorts-children-clothing-2-7-years-126597792093-wcona,Cotton Linen Kids Summer Outfit Set Short Sleeve Top With Shorts Age 2 To 7,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Children's Clothing,"breathable fabric, cotton linen, kids summer outfit, matching shorts, Nigeria, short top, summer wear, toddler clothes, two piece set",15.99,23.99,6.27,Nigeria,active,33.3,60.8,Children's Clothing,8
girls-costume-children-cosplay-princess-dress-kids-halloween-birthday-pageant-party-rapunzel-dress-girl-carnival-tangled-clothes-126597792093-qmnbd,Girls Rapunzel Princess Cosplay Dress Costume Set Birthday Halloween Party,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Children's Clothing,"Birthday gift, Children fantasy, Girls dress, Halloween party, Kids cosplay, Nigeria, Princess costume, Rapunzel dress, Tangled outfit",21.99,32.99,9.32,Nigeria,active,33.3,57.6,Children's Clothing,8
summer-baby-boy-casual-clothes-cartoon-dinosaur-t-shirt-short-pants-2pcsset-sport-kids-lapel-suits-children-fashion-0-5-years-126597792093-xjjlf,Summer Toddler Boy Cartoon Dinosaur Lapel Polo Shirt Shorts 2 Piece Set Black,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Children's Clothing,"black shorts, boys clothing, casual set, dinosaur polo, dinosaur suit, kids apparel, lapel shirt, Nigeria, summer outfit, toddler boy",19.99,28.99,8.14,Nigeria,active,31.0,59.3,Children's Clothing,10
kids-girls-cosplay-snow-queen-elsa-anna-princess-dress-girl-mesh-ball-gown-carnival-birthday-clothes-snow-queen-elsa-costume-126597792093-fzvob,Kids Frozen Elsa Anna Birthday Dress Cosplay Ball Gown Costume,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Children's Clothing,"Anna dress, Ball gown, Birthday outfit, Cosplay dress, Elsa costume, Frozen costume, Kids dress, Nigeria, Princess dress",34.99,51.99,15.82,Nigeria,active,32.7,54.8,Children's Clothing,8
summer-quick-drying-clothes-3d-printed-mens-t-shirt-oversized-loose-round-neck-short-sleeved-shirt-126597792093-pvpoo,Summer Men's 3D Printed Quick Drying Oversized Short Sleeve Tshirt,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Tops,"3d print, activewear, breathable, casual wear, men, Nigeria, oversized, quick drying, short sleeve, summer tshirt",13.99,19.99,5.08,Nigeria,active,30.0,63.7,Apparel,10
dress-for-girls-kpop-cartoon-graphic-funny-gift-for-fan-harajuku-girl-clothes-summer-tops-short-sleeve-dress-childrens-clothing-126597792093-ajmla,Girls Kpop Cartoon Graphic Dress Short Sleeve Harajuku Summer Kids Clothing,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Children's Clothing,"Anime clothing, Cartoon dress, Girls dress, Graphic print, Harajuku style, Kids clothing, Kpop outfit, Nigeria, Summer dress",12.99,19.99,4.99,Nigeria,active,35.0,61.6,Children's Clothing,8
1pc-5-slot-watch-case-hard-shell-travel-organizer-with-pillow-insert-gift-ready-blacksuitable-for-smart-watch-storage-126597792093-7twre,Black 5 Slot Hard Shell Watch Case Travel Organizer With Pillow Insert,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Unknown,"5 slot case, hard shell, Nigeria, pillow insert, smart-gadgets, timepiece case, travel accessory, travel organizer, watch box, watch case, watch storage, wristwatch holder",13.99,20.99,5.24,Nigeria,active,33.3,62.5,Watches,10
smart-watch-for-women-men-wristwatch-bluetooth-connected-phone-player-music-fitness-sport-bracelet-sleep-monitor-digital-watches-126597792093-liwdg,Bluetooth Smart Watch For Men Women Fitness Tracker Heart Rate Sleep Monitor,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Watches,"Bluetooth Watch, Calorie Tracker, Fitness Tracker, Health Tracker, Heart Rate Monitor, Nigeria, Pedometer, Sleep Tracker, Smart Watch",9.99,13.99,3.04,Nigeria,active,28.6,69.6,Watches,4
laxasfit-new-mens-smart-watch-led-flashlight-outdoor-sports-smart-watch-wristwatch-health-monitoring-smart-watch-126597792093-46ccs,LAXASFIT Men Smart Watch LED Flashlight Outdoor Sports Health Wristwatch,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Watches,"Fitness Tracker, Heart Rate Monitor, LED Flashlight, Nigeria, Outdoor Sports, Rugged Wristwatch, Smart Watch, Touch Display, Weather Updates",14.99,21.99,5.84,Nigeria,active,31.8,61.0,Watches,4
ocean-strap-for-apple-watch-ultra-2-band-49mm-10-9-8-7-45mm-41mm-silicone-bracelet-wristband-iwatch-6-5-4-3-se-44mm-40-42mm-band-126597792093-mczag,Ocean Silicone Band For Apple Watch Ultra 2 49mm Silicone Wristband,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Unknown,"49mm, Apple Watch Ultra, Elastomer, Nigeria, Ocean Band, Silicone Band, smart-gadgets, Sports Band, Titanium Buckle, Wristband",5.99,8.99,1.34,Nigeria,active,33.4,77.6,Watches,3
laxasfit-2025-new-smart-watch-for-men-women-gift-full-touch-screen-sports-fitness-watch-bluetooth-call-digital-smartwatch-126597792093-vx9rf,Laxasfit Smart Watch For Men Women Bluetooth Call Full Screen Fitness Tracker,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Watches,"bluetooth call, digital watch, fitness tracker, full screen, health monitor, heart rate, metal mesh, Nigeria, smartwatch",26.99,39.99,11.54,Nigeria,active,32.5,57.2,Watches,4
2026-new-military-smart-watch-men-ip67-3atm-outdoor-sports-fitness-tracker-health-monitor-144inch-bt-call-smartwatch-126597792093-8aiex,Men Military Smart Watch Outdoor IP67 Touchscreen Fitness Tracker BT Call,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Unknown,"bt call, fitness tracker, ip67, military smartwatch, Nigeria, outdoor tracker, rugged watch, smart-gadgets, sports watch, touchscreen watch",13.99,19.99,5.09,Nigeria,active,30.0,63.6,Watches,4
20mm-22mm-watch-band-for-samsung-galaxy-watch-65pro46-classicactive-2-silicone-sport-bracelet-huawei-gt-4-3-pro-2-2e-strap-126597792093-6xdp1,20mm 22mm Silicone Sport Watch Band for Samsung Huawei Smartwatch Strap,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Unknown,"20mm, 22mm, buckle clasp, geometric pattern, huawei, Nigeria, replacement wristband, samsung, silicone band, smart-gadgets, smartwatch strap, sport bracelet",5.99,8.99,1.37,Nigeria,active,33.4,77.1,Watches,3
silicone-band-for-apple-watch-strap-44mm-45mm-40mm-41mm-42-38mm-45-mm-sport-bracelet-iwatch-series-8-7-6-5-4-3-se-9-ultra-2-49mm-126597792093-bh2ht,Premium Silicone Sport Band For Apple Watch 44mm 45mm Series 8 Ultra,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Unknown,"Apple Watch band, Nigeria, Replacement band, Series 8, Silicone strap, smart-gadgets, Sport bracelet, Stainless clasp, Ultra band, Watch accessory",5.99,8.99,1.31,Nigeria,active,33.4,78.1,Watches,3
fashion-women-slippers-cotton-plush-warm-female-light-eva-flat-bottom-non-slip-comfortable-slides-winter-autumn-house-shoes-126597792093-ldko4,Women Leopard Print Plush Slippers Winter Warm Faux Fur EVA House Shoes,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Unknown,"cozy indoor, EVA outsole, faux fur plush, leopard print slippers, non slip sole, plush shoes, UK shipping, winter slippers, women house shoes",9.99,13.99,3.07,Unspecified,active,28.6,69.3,Footwear,6
womens-home-slippers-cute-cartoon-eva-indoor-home-bathroom-sandals-soft-sole-non-slip-summer-outdoor-beach-couple-shoes-126597792093-d63jw,Women Cute Cartoon Bear EVA Sandals Non Slip Soft Indoor Outdoor Beach Slides,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Unknown,"Beach Slides, Cartoon Bear, EVA Slides, Indoor Slippers, Non Slip, Outdoor Sandals, Summer Footwear, UK, Waterproof Sandals, Women Sandals",9.99,14.99,3.28,UK,active,33.4,67.2,Footwear,6
womens-home-slippers-cute-cartoon-eva-indoor-home-bathroom-sandals-soft-sole-non-slip-summer-outdoor-beach-couple-shoes-126597792093-lvuvg,Women Cartoon Bear EVA Slide Sandals Soft Sole Non Slip Home Slippers,THE SEAMARK GLOBAL INNOVATIONS LIMITED,Unknown,"cartoon bear, eva sandals, home slippers, non slip, slide sandals, soft sole, summer footwear, UK, women slippers",9.99,13.99,3.2,UK,active,28.6,68.0,Footwear,6
